location,Amount (1 of empty),Category,Sub-category,Name 1 deutsch,Name 2 deutsch,Name 1 Englisch,Name 2 Englisch,Check again,Comment
Tür Links,,Safety,,Gehörschutz,Ohrschützer,Ear protection,Hearing protection,,
Tür Links,2,Safety,,Schutzbrille,,Safety Goggles,,,
Tür Rechts,,Household,Tape,Paketklebeband,,Parcel tap,,,
Tür Rechts,,Household,Tape,Doppelseitiges Klebeband,,double faced  tape,Double-sided  tape,,
Tür Rechts,2,Household,Tape,Malerkrepp,,Masking tape,,,
Tür Rechts,,Household,Tape,Kabelbinder,,Cable ties,zipties,,
Tür Rechts,,Household,Tape,Gewebeklebeband,Panzertape,duct tape,,,
Tür Rechts,,Household,Scale,Lineal 1m,,Ruler 1m,,x,
Fach Oben,,Electricals,,Dritte Hand,,Soldering helping hands,,,
Fach Oben,,Electricals,,Abisolierzange,,cable stripper,Wire stripper,,
Fach Oben,,Electricals,,Pinzettenset 2 tlg,,Tweezer set 2 pcs,,,
Fach Oben,,Electricals,,Akkuladegerät,,Battery charger,,,
Fach Oben,,Electricals,,Multimeter,,Multimeter,,,
Fach Oben,,Electricals,,Lötstation,Lötkolben,Soldering iron station,,,
Fach Oben,,Painting,,Malerrolle,,Paint roller,,,
Fach Oben,,Painting,,Raufaser Reperatur Spachtel,,ingrain wallpaper repair,woodchip wallpaper filler repair,,
Fach Oben,,Painting,,Terpentin Ersatz,,Turpentine substitute,turps substitute,,
Fach Oben,,Painting,,Spachtel,,Scraper,Spatula,,
Fach Oben,,Painting,,Kratzmesser,,Scrapimg Knipe,,x,
Fach Oben,,Painting,,Kratzmesser,,,,x,
Fach Oben,,Electricals,,Heißklebepistole,,Hot glue gun,,,
Fach Oben,,Household,,Bügeleisen,,Iron,Clothing Iron(Flat Iron),,
Fach Oben,,Household,,destilliertes Wasser,,Distilled water,,,
Fach Oben,,Wood Work,,Schraubenmix,,Screws mix,,x,"Set off screws, sounds like an unordered mix"
Fach Oben,,Wood Work,,Nagelschellen,,Nail clamps w/o nails,,,
Fach Oben,,Wood Work,,Nagelschellen mit Nägeln,,Nail clamps with nails,,,
Fach Oben,,Household,Cleaning,Kärcher Fenster Sauger,,Battery operated Window vacuum cleaner,,,
Fach Oben,,Household,Cleaning,Kärcher Fenster Reiniger,,Battery operated Window cleaner,,,
Fach Oben,,Household,Scale,Kofferwaage,,Suitcase scale,luggage scale,,
